# probe_ability_export_version: 3
# probe_index: 0
# probe_mode: individual
# cook_name: Beef Sirloin Rare
# target_temp_c: 50.0
# reached_target: true
# total_readings: 98
# export_timestamp: 2026-04-13T21:10:04.036675
elapsed_s,internal_temp_c,ambient_temp_c,predicted_remaining_s,confidence
0.0,13.0,72.0,,low
31.0,14.0,78.0,,low
63.2,16.0,82.0,,low
99.3,17.0,86.0,,low
149.6,19.0,89.0,,low
180.6,20.0,89.0,,low
230.9,21.0,89.0,,low
276.1,23.0,89.0,,low
341.9,25.0,88.0,,low
380.6,26.0,88.0,,low
420.6,27.0,89.0,,low
459.2,28.0,89.0,,low
495.4,28.0,89.0,,low
543.1,30.0,89.0,,low
588.2,31.0,90.0,,low
636.0,32.0,90.0,2981.8,low
687.6,33.0,90.0,3014.0,low
727.5,33.0,91.0,3057.4,low
766.2,34.0,94.0,3068.7,low
797.2,35.0,98.0,3090.5,low
829.4,35.0,101.0,3108.5,low
891.3,36.0,100.0,3301.1,low
931.3,37.0,97.0,3314.1,medium
972.6,38.0,94.0,3319.3,medium
1010.0,38.0,91.0,3375.3,medium
1050.0,39.0,88.0,3362.3,medium
1121.0,39.0,85.0,3374.9,medium
1155.8,39.0,87.0,3403.7,medium
1194.5,40.0,89.0,3405.9,medium
1225.5,40.0,92.0,3443.2,medium
1280.9,41.0,94.0,3404.8,medium
1313.1,41.0,94.0,3426.2,medium
1395.7,42.0,94.0,3389.0,medium
1442.2,42.0,95.0,3345.9,medium
1527.3,42.0,93.0,3415.4,medium
1581.5,43.0,91.0,3380.9,medium
1620.2,43.0,90.0,3336.4,medium
1669.2,43.0,91.0,3315.2,medium
1705.3,43.0,96.0,3307.5,medium
1737.6,44.0,97.0,3232.2,medium
1771.1,44.0,94.0,3179.1,medium
1811.1,44.0,91.0,3131.6,high
1845.9,44.0,88.0,3107.5,high
1879.4,44.0,85.0,3073.3,high
1914.3,44.0,82.0,3028.8,high
1998.1,44.0,81.0,2976.9,high
2029.1,44.0,82.0,2981.2,high
2066.5,44.0,86.0,2969.1,high
2119.4,44.0,90.0,2964.5,high
2160.6,44.0,92.0,2948.0,high
2226.4,44.0,93.0,2947.3,high
2259.9,44.0,91.0,2953.6,high
2336.0,45.0,90.0,2877.0,high
2379.9,45.0,88.0,2809.9,high
2475.3,45.0,88.0,2750.4,high
2515.3,45.0,90.0,2726.3,high
2565.6,45.0,92.0,2735.0,high
2614.6,45.0,92.0,2783.6,high
2659.8,45.0,95.0,2862.2,high
2701.1,45.0,97.0,2973.8,high
2739.8,46.0,95.0,3018.3,high
2782.3,46.0,92.0,3042.8,high
2855.8,46.0,90.0,3038.9,high
2908.7,46.0,90.0,2992.1,high
2944.8,46.0,91.0,2951.0,high
2983.5,46.0,92.0,2919.9,high
3067.4,46.0,93.0,2961.3,high
3135.8,46.0,94.0,3005.8,high
3177.0,47.0,96.0,2967.6,high
3209.3,47.0,95.0,2932.7,high
3262.2,47.0,93.0,2888.0,high
3349.9,47.0,93.0,2825.1,high
3397.6,47.0,91.0,2738.8,high
3438.9,47.0,90.0,2706.2,high
3475.0,47.0,89.0,2664.5,high
3533.1,47.0,88.0,2637.1,high
3585.9,47.0,87.0,2630.1,high
3684.0,47.0,85.0,2630.6,high
3736.8,47.0,84.0,2630.6,high
3782.0,47.0,85.0,2630.6,high
3814.2,47.0,89.0,2630.6,high
3914.8,48.0,93.0,2507.3,high
3981.9,48.0,94.0,2433.9,high
4090.2,48.0,91.0,2371.4,high
4144.4,48.0,91.0,2336.8,high
4217.9,48.0,90.0,2323.4,high
4272.1,49.0,89.0,2289.6,high
4314.6,49.0,88.0,2279.1,high
4368.8,49.0,87.0,2245.0,high
4408.8,49.0,86.0,2220.4,high
4448.8,49.0,87.0,2158.0,high
4483.6,49.0,89.0,2116.9,high
4518.4,49.0,91.0,2109.9,high
4573.9,49.0,90.0,2133.3,high
4628.1,50.0,91.0,0,high
4763.6,50.0,90.0,0,high
4843.5,50.0,92.0,0,high
4877.0,51.0,92.0,0,high
