# probe_ability_export_version: 3
# probe_index: 1
# probe_mode: individual
# cook_name: Beef Roast Medium Rare
# target_temp_c: 50.0
# reached_target: true
# total_readings: 112
# export_timestamp: 2026-04-16T13:37:24.090987
elapsed_s,internal_temp_c,ambient_temp_c,predicted_remaining_s,confidence
0.0,17.0,95.0,,low
38.7,18.0,95.0,,low
74.8,19.0,93.0,,low
105.8,20.0,91.0,,low
153.5,21.0,88.0,,low
192.2,22.0,86.0,,low
252.8,23.0,86.0,,low
286.3,24.0,87.0,,low
323.7,25.0,86.0,,low
354.7,26.0,88.0,,low
389.5,26.0,91.0,,low
420.4,27.0,92.0,,low
466.9,28.0,91.0,,low
497.8,29.0,91.0,,low
531.4,29.0,90.0,,low
562.3,30.0,90.0,,low
604.9,31.0,91.0,3363.3,low
642.3,31.0,91.0,3430.2,low
675.8,32.0,90.0,3448.5,low
723.5,32.0,91.0,3658.8,low
759.6,33.0,92.0,3697.9,low
790.6,33.0,93.0,3849.7,low
834.5,34.0,93.0,3976.6,low
877.0,35.0,92.0,4017.8,low
935.1,35.0,91.0,4044.3,medium
975.1,36.0,92.0,4073.8,medium
1022.7,36.0,94.0,4058.4,medium
1065.3,37.0,91.0,4034.9,medium
1101.4,37.0,89.0,4049.4,medium
1134.9,37.0,86.0,4119.2,medium
1169.8,37.0,84.0,4134.1,medium
1203.3,38.0,82.0,4014.4,medium
1251.1,38.0,81.0,3957.4,medium
1291.0,38.0,83.0,3928.3,medium
1325.9,38.0,87.0,3968.2,medium
1356.8,39.0,93.0,3859.6,medium
1398.1,39.0,99.0,3784.4,medium
1438.1,39.0,98.0,3785.0,medium
1476.8,40.0,96.0,3759.5,medium
1524.5,40.0,94.0,3726.9,medium
1555.5,40.0,92.0,3748.3,medium
1587.7,40.0,90.0,3752.3,medium
1621.2,41.0,89.0,3677.5,medium
1663.8,41.0,90.0,3678.4,medium
1697.3,41.0,88.0,3658.4,medium
1746.4,41.0,86.0,3658.4,medium
1777.3,41.0,84.0,3640.7,medium
1823.7,41.0,82.0,3602.1,high
1854.7,41.0,82.0,3584.6,high
1902.4,41.0,84.0,3626.4,high
1936.0,42.0,86.0,3580.9,high
1966.9,42.0,89.0,3546.3,high
1999.2,42.0,93.0,3479.3,high
2035.3,42.0,95.0,3421.3,high
2083.0,42.0,97.0,3484.5,high
2130.8,43.0,97.0,3399.6,high
2178.5,43.0,95.0,3322.9,high
2212.0,43.0,93.0,3393.3,high
2252.0,43.0,91.0,3442.9,high
2295.9,43.0,88.0,3472.7,high
2342.3,43.0,85.0,3485.8,high
2379.7,43.0,85.0,3477.1,high
2414.5,43.0,88.0,3525.9,high
2449.3,43.0,92.0,3557.9,high
2494.5,43.0,94.0,3602.5,high
2575.8,44.0,93.0,3528.1,high
2617.1,44.0,94.0,3491.7,high
2660.9,44.0,93.0,3439.4,high
2691.9,44.0,92.0,3353.7,high
2735.7,44.0,90.0,3290.6,high
2775.7,44.0,87.0,3243.7,high
2811.9,44.0,85.0,3293.9,high
2848.0,44.0,83.0,3292.3,high
2899.5,44.0,83.0,3255.6,high
2931.8,44.0,85.0,3227.5,high
2965.3,44.0,89.0,3210.1,high
2997.6,44.0,94.0,3178.8,high
3028.6,45.0,96.0,3126.0,high
3069.9,45.0,95.0,3111.1,high
3112.4,45.0,94.0,3057.4,high
3169.2,45.0,93.0,3004.6,high
3214.4,45.0,91.0,2969.9,high
3259.5,45.0,90.0,2963.2,high
3296.9,45.0,88.0,2966.6,high
3334.4,45.0,86.0,3060.8,high
3367.9,45.0,84.0,3111.4,high
3402.7,45.0,84.0,3133.2,high
3462.0,46.0,86.0,3081.6,high
3494.3,46.0,92.0,3048.9,high
3531.7,46.0,98.0,3006.6,high
3583.2,46.0,97.0,2990.4,high
3621.9,46.0,94.0,2940.5,high
3694.2,47.0,94.0,2823.1,high
3747.1,47.0,92.0,2752.5,high
3790.9,47.0,89.0,2705.5,high
3823.2,47.0,87.0,2672.3,high
3854.2,47.0,85.0,2653.6,high
3889.0,47.0,83.0,2639.6,high
3922.5,47.0,81.0,2577.6,high
3974.1,47.0,81.0,2523.1,high
4006.3,47.0,82.0,2485.5,high
4039.8,47.0,86.0,2425.5,high
4073.4,47.0,94.0,2378.4,high
4109.5,47.0,104.0,2354.9,high
4144.3,48.0,107.0,2354.9,high
4180.5,48.0,106.0,2416.3,high
4228.2,48.0,104.0,2438.1,high
4259.1,49.0,101.0,2413.4,high
4290.1,49.0,98.0,2383.7,high
4345.5,49.0,96.0,2364.5,high
4388.1,49.0,94.0,2349.9,high
4420.4,50.0,92.0,0,high
